x_1,x_2,t_1,t_2,label
varivax,vzig,vɛəri væks,vi zig,1
venofer,vfend,vɛnoʊfər,vifɛnd,1
venofer,vimpat,vɛnoʊfər,vimpæt,1
vesanoid,vesicare,vɛsənɔid,vɛsi kɛər,1
vesicare,vessel care,vɛsi kɛər,vɛsəl kɛər,1
duetact,eydenzelt,duə tækt,eidənzɛlt,0
vumerity,ivadantin,vjumɛriti, aivədæntin,0
follistim,vitamin a,fɒlistim,vaitəmin ei,0
glyxambi,calan,gliksæmbi,keilæn,0
besremi,iprivask,bɛsrɛmi,iprivæsk,0
zegalogue,mono-linyah,zɛgəlɒg, mɒnoʊlinjə,0
predamide,retacrit,prɛdəmaid,rɛtəkrit,0
rimactane,midol,rimæktein,maidɒl,0
visudyne,praxbind,vizjudain,præksbaind,0
hexadrol,zanosar,hɛksədrɒl,zænoʊsɑr,0
anadrol-50,lumigan,ænədrɒl fifti,lumigæn,0
exelon,iodixanol,ɛksəlɒn, aioʊdiksænɒl,0
ogivri,praxbind,oʊgivri,præksbaind,0
egaten,urex,ɛgətɛn,jʊərɛks,0
